# Tag name          ;  color
LBC                 ; #808080
LBPD                ; #1e90ff
LBFD                ; #ff0000
POLB                ; #20b2aa
LBCC                ; #00a000
LBUSD               ; #ffa500
CSULB               ; #9932cc
USCG                ; #ffd700
LBT                 ; #ff69b4
LBMH                ; #8b4513
HAM                 ; #9acd32
GMRS/FRS            ; #00e5ff
NWS                 ; #87ceeb
LASD                ; #8B0000

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
   145180000; W6MPH Pasadena [PL 156.7 -0.6]                  ; Narrow FM           ;      16000; HAM
   145300000; K6CPT Mt Disappointment [PL 100.0 -0.6]         ; Narrow FM           ;      16000; HAM
   145320000; W6TRW Redondo Beach [PL 114.8 -0.6]             ; Narrow FM           ;      16000; HAM
   146145000; K6CHE City of Long Beach [PL 156.7 +0.6]        ; Narrow FM           ;      16000; HAM
   146400000; 2m FM Simplex 146.400                           ; Narrow FM           ;      16000; HAM
   146415000; 2m FM Simplex 146.415                           ; Narrow FM           ;      16000; HAM
   146430000; 2m FM Simplex 146.430                           ; Narrow FM           ;      16000; HAM
   146445000; 2m FM Simplex 146.445                           ; Narrow FM           ;      16000; HAM
   146460000; 2m FM Simplex 146.460                           ; Narrow FM           ;      16000; HAM
   146475000; 2m FM Simplex 146.475                           ; Narrow FM           ;      16000; HAM
   146490000; 2m FM Simplex 146.490                           ; Narrow FM           ;      16000; HAM
   146505000; 2m FM Simplex 146.505                           ; Narrow FM           ;      16000; HAM
   146520000; 2m FM Simplex 146.520 (National Calling)        ; Narrow FM           ;      16000; HAM
   146535000; 2m FM Simplex 146.535                           ; Narrow FM           ;      16000; HAM
   146550000; 2m FM Simplex 146.550                           ; Narrow FM           ;      16000; HAM
   146565000; 2m FM Simplex 146.565                           ; Narrow FM           ;      16000; HAM
   146580000; 2m FM Simplex 146.580                           ; Narrow FM           ;      16000; HAM
   146595000; 2m FM Simplex 146.595                           ; Narrow FM           ;      16000; HAM
   146790000; K6SYU LB VA Hospital [PL 103.5 -0.6]            ; Narrow FM           ;      16000; HAM
   146805000; KE6HE Long Beach [-0.6 private]                 ; Narrow FM           ;      16000; HAM
   147150000; WR6JPL JPL La Canada [PL 100.0 +0.6]            ; Narrow FM           ;      16000; HAM
   147420000; 2m FM Simplex 147.420                           ; Narrow FM           ;      16000; HAM
   147435000; K6MWT Santiago Peak [PL 103.5 split]            ; Narrow FM           ;      16000; HAM
   147450000; 2m FM Simplex 147.450                           ; Narrow FM           ;      16000; HAM
   147465000; 2m FM Simplex 147.465                           ; Narrow FM           ;      16000; HAM
   147480000; 2m FM Simplex 147.480                           ; Narrow FM           ;      16000; HAM
   147495000; 2m FM Simplex 147.495                           ; Narrow FM           ;      16000; HAM
   147510000; 2m FM Simplex 147.510                           ; Narrow FM           ;      16000; HAM
   147525000; 2m FM Simplex 147.525                           ; Narrow FM           ;      16000; HAM
   147540000; 2m FM Simplex 147.540                           ; Narrow FM           ;      16000; HAM
   147555000; 2m FM Simplex 147.555                           ; Narrow FM           ;      16000; HAM
   147570000; 2m FM Simplex 147.570                           ; Narrow FM           ;      16000; HAM
   150775000; LB FD V-5D Fire Tac 5 Direct [D152]             ; Narrow FM           ;      10000; LBFD
   151160000; LB FD V-3 Fire Tactical [D134]                  ; Narrow FM           ;      10000; LBFD
   151235000; LB FD V-7D Fire Tac 7 Direct [D226]             ; Narrow FM           ;      10000; LBFD
   151595000; CSULB General [D226]                            ; Narrow FM           ;      10000; CSULB
   151955000; LBUSD Elementary School Ops                     ; Narrow FM           ;      10000; LBUSD
   153770000; LB FD V-4 Lifeguards / Marine Tac [D143]        ; Narrow FM           ;      10000; LBFD
   153800000; LB FD V-8D Fire Tac 8 Direct [D243]             ; Narrow FM           ;      10000; LBFD
   153800000; LB Refuse Collection Division [PL 123.0]        ; Narrow FM           ;      10000; LBC
   153815000; LB FD V-9D Fire Tac 9 Direct [D244]             ; Narrow FM           ;      10000; LBFD
   153830000; LB FD V-6D Fire Tac 6 Direct [PL 131.8]         ; Narrow FM           ;      10000; LBFD
   153920000; LB FD V-2 Fire Tactical [D155]                  ; Narrow FM           ;      10000; LBFD
   153950000; LB FD V-1 Fire Dispatch [D132]                  ; Narrow FM           ;      10000; LBFD
   153980000; LB Water Department Ch 2 [D116]                 ; Narrow FM           ;      10000; LBC
   154515000; LBUSD Jordan High School                        ; Narrow FM           ;      10000; LBUSD
   154540000; LBUSD Jordan High School                        ; Narrow FM           ;      10000; LBUSD
   154600000; LBUSD Elementary School Ops                     ; Narrow FM           ;      10000; LBUSD
   155040000; LB Water Department Ch 1 [D116]                 ; Narrow FM           ;      10000; LBC
   155160000; LB FD Search and Rescue (SAR) [PL 131.8]        ; Narrow FM           ;      10000; LBFD
   156250000; POLB Tugs (Marine 5A)                           ; Narrow FM           ;      16000; POLB
   156300000; USCG Intership Safety (Marine 6)                ; Narrow FM           ;      16000; USCG
   156600000; POLB Port Ops / Local Rescue (Marine 12)        ; Narrow FM           ;      16000; POLB
   156650000; USCG Bridge-to-Bridge In-Port (Marine 13)       ; Narrow FM           ;      16000; USCG
   156700000; USCG San Pedro VTS (Marine 14)                  ; Narrow FM           ;      16000; USCG
   156725000; POLB Pilots Secondary (Marine 74)               ; Narrow FM           ;      16000; POLB
   156800000; USCG Hailing & Distress (Marine 16)             ; Narrow FM           ;      16000; USCG
   157075000; USCG Sector LA/LB Ops Secondary (Marine 81A)    ; Narrow FM           ;      16000; USCG
